Price,Close,High,Low,Open,Volume,ticker,company_name,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Ticker,SBER.ME,SBER.ME,SBER.ME,SBER.ME,SBER.ME,,,VTBR.ME,VTBR.ME,VTBR.ME,VTBR.ME,VTBR.ME,GAZP.ME,GAZP.ME,GAZP.ME,GAZP.ME,GAZP.ME,LKOH.ME,LKOH.ME,LKOH.ME,LKOH.ME,LKOH.ME,MTSS.ME,MTSS.ME,MTSS.ME,MTSS.ME,MTSS.ME,RTKM.ME,RTKM.ME,RTKM.ME,RTKM.ME,RTKM.ME,MGNT.ME,MGNT.ME,MGNT.ME,MGNT.ME,MGNT.ME
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-06,68.30670928955078,69.4702020974959,68.29978754269946,69.39402061192158,31691800.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-08,68.00891876220703,68.84691520683515,67.76652549812226,68.63221950112275,42372290.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-09,67.8496322631836,68.4036732404548,67.65571765694983,68.17513404526599,45986900.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-10,68.846923828125,68.846923828125,67.5379894706035,67.78038804881928,51902400.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-13,69.42172241210938,69.49790389654403,68.5906583976282,68.77072420481704,62051250.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-14,68.73609924316406,69.0685280429549,68.22360990710571,68.68762059358795,78485160.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-15,69.73338317871094,69.80263764036646,68.95079243905103,69.22088853815127,77839370.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-16,69.67105102539062,70.39130905671453,69.62257237346385,69.87881969580634,62759280.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-17,70.00347900390625,70.25972103940674,69.32477260127358,69.50483842789478,69135170.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-20,70.61292266845703,70.75835861633331,69.7126041410644,69.94114332556913,62429420.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-21,70.73759460449219,71.03539358088825,70.5713828197387,70.9869149235111,61991430.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-22,70.77913665771484,70.9799782921952,70.03810283300709,70.78606368891117,58589100.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-23,70.33590698242188,71.27778251142172,70.33590698242188,70.5090457887266,70600710.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-24,68.99927520751953,70.12814360658919,68.99927520751953,69.9411507368077,112821700.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-27,67.75959014892578,68.63913810692189,67.61415420832768,68.29978757885962,103793450.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-28,67.45487976074219,68.38290122312615,67.21248648950586,68.0158478004287,80448950.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-29,66.5545425415039,68.5491045658155,66.29830054194096,67.82191961382256,120814560.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-30,66.27753448486328,66.96316797813154,65.37721584135856,66.55455763816364,130498640.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-31,65.65424346923828,66.67229530505206,65.39799611031023,66.3467987578008,103047610.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-03,65.49494934082031,66.40912205332316,65.4811005607754,65.7581184318912,81505780.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-04,65.05863189697266,65.43261230866399,64.5807671569599,64.78853581360276,93931280.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-05,66.14594268798828,66.24289998457415,65.10710998133143,65.31487335239697,90666210.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-06,66.87312316894531,67.04626195534692,66.24290073400725,66.33293100077655,76095210.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-07,66.90084075927734,67.42718426544506,66.5614901425668,67.17786393535391,77654990.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-10,66.13209533691406,67.23326086527219,66.08361668370188,67.13630355884781,67771880.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-11,66.60995483398438,66.93545660133327,66.14594414953132,66.46451888589206,55103910.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-12,67.1778564453125,67.27481375356234,66.58918556414507,67.11552901162776,70670070.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-13,66.1390151977539,66.96315749678566,66.00050628467228,66.69306141763306,62181740.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-14,66.97008514404297,67.06704244849757,66.2775299500662,66.34678969648532,63884790.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-17,67.50334930419922,67.9258083558114,67.24017497342528,67.24710200417626,54738670.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-18,66.9908676147461,67.83578053038629,66.86620746591771,67.5241328002038,56765130.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-19,65.65424346923828,66.89391278604097,65.46725058241098,66.83851237862689,79367620.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-20,65.5157241821289,65.62653555595526,64.83009597885399,65.16944656458723,72263740.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-21,65.7442626953125,66.0974673125222,65.45339079115234,65.8065901245854,52205040.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-24,65.56419372558594,65.8550656157911,65.1417346681933,65.79273818950846,48226210.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-25,65.19022369384766,66.12517750712897,64.62925563290064,66.04899600702787,74634340.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-26,63.95747375488281,65.50879597415909,63.611196143558296,65.29410554594654,90720380.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-27,62.36459732055664,64.13753692602833,61.91443538779262,64.06135543200163,129290620.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-28,63.091773986816406,63.31339142655143,61.54737893972507,62.43384869866519,112780920.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-03,53.56914520263672,60.14149276004576,51.913938649773954,59.213471301590516,427913510.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-04,56.457096099853516,58.10538081428247,53.44448211554518,54.365581775517036,371921710.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-05,56.42247009277344,57.32278863628654,55.48752167752742,57.045770797529634,175284130.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-06,55.729915618896484,58.04304736059427,53.02202235614766,56.533276872044084,281937510.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-07,55.39748764038086,56.41554460537712,54.254770531022274,55.404414671672306,190384620.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-11,53.15360641479492,55.2312718121159,52.9042861444143,54.746485332918205,150142970.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-12,50.37645721435547,52.88350861433731,50.106361144198246,52.62033957473636,227452390.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-13,48.340362548828125,51.17291121863844,47.69628590187752,50.90281507157312,256776110.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-14,49.30992889404297,49.69083637348288,45.24463318838014,47.09375433305694,346714120.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-17,53.12590408325195,53.40985422647928,49.77393974641343,50.21024758186183,344321660.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-18,56.78953170776367,56.78953170776367,52.384879801386155,53.74228748620137,301075150.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-19,55.847652435302734,57.20506003043712,54.80189257519553,56.498656031946254,257701520.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-20,54.98888397216797,56.28395881538481,54.31710458233105,55.092768308990244,190046940.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-21,54.344810485839844,54.37251332947151,52.70345266615959,53.46526237281029,207828970.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-24,54.29633331298828,55.66758976564622,53.894649995026946,54.34481196972311,167819190.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-25,56.58176040649414,56.76875327826613,53.5622191687709,54.6010520179754,255665910.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-26,57.135799407958984,58.41009833732986,56.803370613814685,56.85877629346814,229652070.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-27,55.33515930175781,57.288164675524484,54.850367511072534,56.90033546999757,185280640.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-28,56.346282958984375,56.761814959281395,55.17586315747893,55.68143070175394,152251850.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,58.0361328125,58.03613281249999,56.18008450719555,56.36707210224675,178420740.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-01,58.09153366088867,58.645579985778234,57.308948114476216,58.1815692268552,154874300.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-02,57.2535400390625,58.299299923912926,56.401700058485524,58.17463977019713,143111440.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-03,56.45016860961914,57.75217031689051,56.242399962688864,57.398965730619516,127794990.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-04,57.468231201171875,57.68984864757471,55.993085285130334,56.75489492690405,147144280.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-07,55.369789123535156,56.7064209432352,54.62183348272036,56.7064209432352,236725410.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-08,54.99580764770508,55.40441265482165,54.37250694858302,55.335158195758424,163499350.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-09,54.60797119140625,55.473665107832396,53.846161601706505,55.265901738155925,161363630.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-10,55.33515930175781,55.7091397287059,54.37250803534163,54.864221573428004,178317550.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-11,55.23128128051758,55.45289874953973,53.77691630982366,54.51102318525129,154422060.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-14,54.261695861816406,54.7880392641598,53.67302503113348,54.7880392641598,190735310.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-15,52.08015060424805,54.254773579601235,52.01089613877239,54.0193073402286,190723350.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-16,52.72422790527344,52.98047524325022,50.98591807742879,52.59956775217353,271726740.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-17,53.25056838989258,53.47218584039649,52.08014842241232,52.63419469056053,201674510.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-18,54.58720397949219,54.98888728807942,54.17167189092276,54.28940501399162,114463050.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-21,53.75613784790039,54.57335321534492,53.6453264769629,54.57335321534492,83590290.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-22,52.84196472167969,53.6730288615084,52.35717290363216,53.6730288615084,135293150.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-23,52.329463958740234,52.987394502842335,52.02474329435237,52.77269881946469,133283600.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-24,50.701961517333984,52.710372494032214,49.73238325784762,52.53030667692476,251265730.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-25,48.416534423828125,50.62578182101155,48.174135887542555,50.5911572328112,297122510.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-28,50.826622009277344,51.04131241485685,47.02449571721865,47.786305325065854,382641850.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-29,50.41802215576172,51.70617528833458,50.071744545581424,51.380673489360774,184166290.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-30,50.21025466918945,50.62578675452387,49.50385065249866,50.21718170101522,109106810.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-05,49.85704803466797,50.16870104909798,49.17834688851508,49.41381312344818,67164800.0,SBER,Сбербанк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
