begin,GAZP_actual,GAZP_forecast,LKOH_actual,LKOH_forecast,MGNT_actual,MGNT_forecast,MTSS_actual,MTSS_forecast,RTKM_actual,RTKM_forecast,SBER_actual,SBER_forecast,VTBR_actual,VTBR_forecast
2021-01-04,-0.2699999999999818,0.8739590608058351,1.5,26.5389340334641,44.5,98.97951819804341,2.3000000000000114,-0.9508846325787751,1.0999999999999943,0.0228632202779731,0.4399999999999977,1.9059775256179574,1.3000000000000114,3.607170012916212
2021-01-05,2.609999999999985,-0.08344369313962091,97.5,10.82429249461079,-26.5,68.2677327117784,1.75,0.355348333875517,0.6599999999999966,0.12569319204755752,-0.7599999999999909,1.4293048667667458,-9.175000000000011,2.3139009947614824
2021-01-06,-0.9399999999999977,0.8602481378862937,-6.0,10.037463059332712,-25.5,-64.61430557790374,-0.05000000000001137,0.23577073666283174,0.21000000000000796,-0.10082284706081815,-0.4000000000000057,-0.8382104215828547,-3.5999999999999943,-0.8084035651906907
2021-01-08,11.110000000000014,0.6474531318420292,-42.0,-6.115002080482485,11.5,-40.073397344904265,0.10000000000002274,-0.3609367995119302,1.3499999999999943,-0.06608730650118004,1.2800000000000011,-0.29658287077469825,-5.550000000000011,-1.0138188974754
2021-01-11,2.109999999999985,0.27285655293293165,24.0,1.2732543542570607,-4.5,28.503798853578935,-0.10000000000002274,-0.30396915853020895,-4.049999999999997,0.07331392861139807,-1.289999999999992,-0.36591918541376245,0.17500000000001137,-0.008999517686128666
2021-01-12,1.0900000000000034,0.19052446174826212,58.0,0.7635772315134606,8.5,40.36700069142843,-0.39999999999997726,0.7021325528629817,-0.8299999999999983,0.3630182748784753,6.659999999999997,0.2639823833089104,0.875,0.27789629324086756
2021-01-13,-1.8899999999999864,-0.008888890906981375,133.0,41.2679454448012,-2.5,69.89494943092966,2.75,-0.06973609499679032,1.1700000000000017,0.06740214094959086,9.75,2.088285636132963,3.75,1.5646808238525016
2021-01-14,2.0600000000000023,0.04626839281298325,9.0,10.623940889484915,119.0,21.56909082748031,0.5,0.9906776954141622,-0.8800000000000097,0.04933283576871903,-1.0100000000000193,0.32713996923235733,-0.20000000000001705,0.2964047280981969
2021-01-15,-2.3600000000000136,-0.00044796722362931696,-27.5,-3.3178769115379456,25.0,-14.101812768442482,1.8999999999999773,0.4361933919803309,0.9000000000000057,-0.02338470474496008,-1.3999999999999773,-0.054429603917246216,0.4000000000000057,-0.040565207707756484
2021-01-18,0.37999999999999545,0.22728116601121828,-3.0,1.876670057966939,-75.5,-1.582967542123341,2.0500000000000114,0.2703469101657022,-0.8599999999999994,0.01300229764578921,-2.1899999999999977,-0.05965916833007481,-0.549999999999983,0.09863842553871807
